Age,Birth Place,Birthday,College,Current Status,Current Team,Experience,Height (inches),High School,High School Location,Name,Number,Player Id,Position,Weight (lbs),Years Played
23,"Eden Prairie , MN",5/10/1996,Minnesota,Injured reserve,New York Jets,Rookie,73,Eden Prairie HS,"Eden Prairie, MN","Cashman, Blake",53,blakecashman/2562496,LB,237,
50,"Fort Wayne , IN",12/7/1968,USC,Retired,,5 Seasons,67,,,"Ervins, Ricky",,rickyervins/2500561,,195,1991 - 1995
46,"Orangeburg , SC",10/8/1973,East Tennessee State,Retired,,9 Seasons,70,,,"Abraham, Donnie",,donnieabraham/2499352,,192,1996 - 2004
70,"St. Louis , MO",6/24/1949,New Mexico,Retired,,2 Seasons,75,,,"Scarber, Sam",,samscarber/2524990,,230,1975 - 1976
,"Ponca City , OK",9/8/1931,Oklahoma,Retired,,5 Seasons,73,,,"Catlin, Tom",,tomcatlin/2511287,,213,1953 - 1959
,"Franks , OH",11/14/1907,Geneva,Retired,,1 Season,71,,,"Davis, Red",,reddavis/2512635,,195,1933 - 1933
86,"Atlanta , AR",9/2/1933,Louisiana Tech,Retired,,1 Season,72,,,"Anderson, Charlie",,charlieanderson/2508471,,230,1956 - 1956
27,"Rochelle , GA",6/30/1992,Auburn,Retired,,2 Seasons,73,,,"Marshall, Nick",,nickmarshall/2553672,,206,2015 - 2016
58,"Kenosha , WI",4/17/1961,Missouri,Retired,,1 Season,76,,,"Pettey, Phil",,philpettey/2523122,,274,1987 - 1987
24,"Pinson , AL",12/12/1994,Vanderbilt,Active,Houston Texans,3rd season,75,Pinson Valley HS,"Pinson, AL","Cunningham, Zach",41,zachcunningham/2558094,ILB,238,
,"Harrisburg , PA",10/3/1894,Penn State,Retired,,1 Season,71,,,"Beck, Clarence",,clarencebeck/2509269,,200,1925 - 1925
46,"Royston , GA",2/28/1973,Auburn,Retired,,11 Seasons,74,,,"Walker, Gary",,garywalker/2503505,,324,1995 - 2005
,"Toledo , OH",11/8/1899,Washington & Jefferson,Retired,,6 Seasons,69,,,"Hadden, Al",,alhadden/2515547,,186,1925 - 1930
77,"Hattiesburg , MS",6/12/1942,Jackson State,Retired,,1 Season,74,,,"Reed, Taft",,taftreed/2523880,,200,1967 - 1967
,"Republic , KS",4/19/1913,Nebraska,Retired,,7 Seasons,74,,,"Cardwell, Lloyd",,lloydcardwell/2511061,,195,1937 - 1943
56,"Helena , AR",5/16/1963,Memphis,Retired,,1 Season,69,,,"Jackson, Enis",,enisjackson/2517250,,180,1987 - 1987
22,"West Point , NY",3/5/1997,Kansas State,Cut from team,Los Angeles Rams,Rookie,75,,,"Beecham, Abdul",76,abdulbeecham/2563336,OG,321,
24,"Philaldelphia , PA",8/22/1995,Florida International,Active,Tennessee Titans,3rd season,75,West Port HS,"Ocala, FL","Smith, Jonnu",81,jonnusmith/2558207,TE,248,
40,"Brooklyn , NY",3/31/1979,Maryland,Retired,,8 Seasons,75,,,"Fowler, Melvin",,melvinfowler/2505071,,310,2002 - 2009
23,,1/9/1996,Iowa State,Injured reserve,Cleveland Browns,Rookie,71,Menendez HS,FL,"Harvey, Willie",56,willieharvey/2563123,LB,230,
,"Washington , DC",7/28/1944,Duke,Retired,,2 Seasons,72,,,"Glacken, Scotty",,scottyglacken/2514926,,190,1966 - 1967
55,"Pittsburgh , PA",12/24/1963,Penn State,Retired,,1 Season,73,,,"Radecic, Keith",,keithradecic/2523676,,260,1987 - 1987
79,"St. Edward , NE",1/2/1940,Nebraska,Retired,,17 Seasons,69,,,"Fischer, Pat",,patfischer/2514051,,170,1961 - 1977
48,"Pine Bluff , AR",5/26/1971,Arkansas,Retired,,2 Seasons,71,,,"Ireland, Darwin",,darwinireland/2501300,,240,1994 - 1995
49,"Kenansville , NC",10/30/1970,Oregon,Retired,,3 Seasons,70,,,"Philyaw, Dino",,dinophilyaw/2502477,,205,1995 - 1999
60,"Milwaukee , WI",5/28/1959,Wisconsin,Retired,,2 Seasons,75,,,"Levenick, Dave",,davelevenick/2519393,,222,1983 - 1984
36,"Sheridan , WY",9/9/1983,Colorado State,Retired,,5 Seasons,77,,,"Oldenburg, Clint",,clintoldenburg/2507221,,305,2007 - 2011
,"Morgantown , WV",10/28/1919,Ohio U.,Retired,,1 Season,71,,,"Fekete, John",,johnfekete/2513912,,200,1946 - 1946
,"Savannah , GA",1/5/1924,Southeastern Louisiana,Retired,,5 Seasons,70,,,"Davis, Jerry",,jerrydavis/2512574,,178,1948 - 1952
51,"Lake Wells , FL",7/6/1968,Tennessee,Retired,,8 Seasons,76,,,"Harper, Alvin",,alvinharper/2501031,,218,1991 - 1999
29,,4/29/1990,Ball State,Injured reserve,Carolina Panthers,1st season,77,,,"O'Brien, Kitt",77,kitto'brien/2554358,OG,325,
69,"Marshall , TX",4/5/1950,Lamar,Retired,,1 Season,70,,,"Gibbs, Pat",,patgibbs/2514814,,188,1972 - 1972
29,"Avondale Estates , GA",6/22/1990,Mississippi,Retired,,4 Seasons,74,,,"Rivers, Gerald",,geraldrivers/2541795,,250,2013 - 2016
48,"Crowell , TX",1/24/1971,Nebraska,Retired,,2 Seasons,72,,,"Reece, John",,johnreece/2502605,,203,1995 - 1997
24,"Chattanooga , TN",12/12/1994,Ohio State,Active,New Orleans Saints,4th season,71,Chattanooga HS,TN,"Bell, Vonn",24,vonnbell/2555530,SS,205,
22,,6/2/1997,North Texas,Cut from team,,Season,71,,,"Hall, Kemon",,kemonhall/2562975,,190,
,"Bessemer , PA",7/16/1917,South Carolina,Retired,,3 Seasons,75,,,"Urban, Alex",,alexurban/2527804,,207,1941 - 1945
67,"Laurel , MS",7/30/1952,Colorado State,Retired,,3 Seasons,75,,,"Kennedy, Jimmie",,jimmiekennedy/2518338,,231,1975 - 1977
37,,10/23/1982,Louisville,Retired,,0 Season,76,,,"Anderson, Zach",,zachanderson/2508541,,270,2007 - 2007
,"Atchison , KS",9/1/1899,Nebraska,Retired,,1 Season,74,,,"Bassett, Henry",,henrybassett/2509133,,215,1924 - 1924
70,"Sonora , CA",5/26/1949,Santa Clara,Retired,,13 Seasons,74,,,"Pastorini, Dan",,danpastorini/2522826,,208,1971 - 1983
31,,10/22/1988,Washington,Retired,,1 Season,71,,,"Aguilar, Devin",,devinaguilar/2535502,,200,2012 - 2012
40,"Moultrie , GA",11/22/1978,Delta State,Retired,,5 Seasons,73,,,"Maddox, Anthony",,anthonymaddox/2505927,,305,2004 - 2008
,"Fresno , CA",5/18/1935,Fresno State,Retired,,1 Season,71,,,"Papac, Nick",,nickpapac/2522707,,190,1961 - 1961
26,"Fort Knox , KY",3/15/1993,Louisville,Active,Atlanta Falcons,5th season,76,Fern Creek HS,KY,"Brown, Jamon",68,jamonbrown/2552340,OG,340,
38,"Pomona , CA",11/4/1981,Arizona State,Retired,,2 Seasons,75,,,"Verdon, Jimmy",,jimmyverdon/2506564,,280,2005 - 2007
30,"Edinburg , TX",5/5/1989,Oklahoma,Retired,,5 Seasons,71,,,"Fleming, Jamell",,jamellfleming/2532839,,206,2012 - 2016
,"Union , SC",5/9/1937,Iowa,Retired,,11 Seasons,73,,,"Jeter, Bob",,bobjeter/2517532,,200,1963 - 1973
,"Coalville , OK",3/27/1904,East Central (OK),Retired,,2 Seasons,73,,,"Capps, Bill",,billcapps/2511039,,233,1929 - 1930
75,"Macon , GA",11/7/1944,Morris Brown,Retired,,13 Seasons,76,,,"Hart, Tommy",,tommyhart/2516033,,245,1968 - 1980
22,USA,1/12/1997,Northwestern State-Louisiana,Cut from team,,Season,77,,,"Ferguson, Jazz",,jazzferguson/2562583,,228,
46,"Rincon , GA",7/30/1973,Valdosta State,Retired,,8 Seasons,75,,,"Ulmer, Artie",,artieulmer/2503437,,247,1997 - 2005
24,,2/19/1995,Iowa,dev?,Oakland Raiders,1st season,69,,,"Butler, James",,jamesbutler/2561678,RB,210,
37,,9/4/1982,South Carolina,Retired,,0 Season,77,,,"Alston, Jon",,jonalston/2506324,,306,2006 - 2007
25,"Miami , FL",3/6/1994,Arkansas,Cut from team,,Season,76,,,"Kirkland, Denver",,denverkirkland/2556857,,340,
34,"Lexington , KY",3/15/1985,Kentucky,Retired,,9 Seasons,75,,,"Tamme, Jacob",,jacobtamme/324,,230,2008 - 2016
24,USA,11/8/1995,South Carolina,Injured reserve,Tampa Bay Buccaneers,Rookie,77,,,"Bailey, Zack",61,zackbailey/2562623,OG,299,
33,"Salinas , CA",7/19/1986,Idaho State,Cut from team,,Season,74,,,"Smith, Evan",,evansmith/2507701,,308,
46,"Miami , FL",3/3/1973,Louisville,Retired,,1 Season,75,,,"Campos, Alan",,alancampos/2499982,,236,1996 - 1996
23,"Ensley , AL",2/20/1996,Mississippi State,Active,Miami Dolphins,Rookie,75,Restoration Academy HS,"Fairfield, AL","Calhoun, Shaq",62,shaqcalhoun/2562245,OG,310,
29,"Baltimore , MD",3/15/1990,West Virginia,Active,Dallas Cowboys,7th season,68,Paul Laurence Dunbar HS,"Baltimore, MD","Austin, Tavon",10,tavonaustin/2539336,WR,185,
28,"Norcross , GA",11/9/1991,Florida,Active,Arizona Cardinals,5th season,76,Norcross HS,GA,"Garcia, Max",73,maxgarcia/2552583,OG,309,
58,"Reno , NV",8/17/1961,Boise State,Retired,,1 Season,74,,,"Keever, Carl",,carlkeever/2518229,,236,1987 - 1987
,"Phillipsburg , KS",1/14/1907,Kansas State,Retired,,5 Seasons,74,,,"Tackwell, Cookie",,cookietackwell/2526979,,215,1930 - 1934
25,"Jersey City , NJ",4/8/1994,Northwestern,Active,Minnesota Vikings,2nd season,75,Centerville HS,OH,"Odenigbo, Ifeadi",95,ifeadiodenigbo/2558278,DE,258,
34,"Spanish Fort , AL",12/5/1984,Alabama,Retired,,10 Seasons,74,,,"Gilberry, Wallace",,wallacegilberry/1332,,265,2008 - 2017
43,"Passaic , NJ",8/1/1976,North Carolina State,Retired,,4 Seasons,72,,,"Perry, Jason",,jasonperry/2502449,,200,1999 - 2002
,"Beloit , WI",11/10/1932,Michigan,Retired,,2 Seasons,74,,,"Knutson, Gene",,geneknutson/2518663,,218,1954 - 1956
34,"Los Angeles , CA",1/19/1985,Nevada,Retired,,2 Seasons,73,,,"Johnson, Jerome",,jeromejohnson/2507605,,258,2009 - 2010
28,"The Woodlands , TX",11/7/1991,Oklahoma State,Retired,,3 Seasons,72,,,"Gilbert, Justin",,justingilbert/2543473,,202,2014 - 2016
,,,,Retired,,,,,,"Barsha, Johnny",,johnnybarsha/2509096,,,1920 - 1920
34,"New Haven , CT",9/25/1985,Connecticut,Retired,,8 Seasons,76,,,"Thomas, Donald",,donaldthomas/844,,303,2008 - 2015
,"Murfreesboro , TN",10/27/1953,Oklahoma,Retired,,2 Seasons,71,,,"Anderson, Jerry",,jerryanderson/2508494,,198,1977 - 1978
31,"Oak Park , IL",2/17/1988,Illinois State,Retired,,1 Season,75,,,"Venson, Brandon",,brandonvenson/2536058,,245,2012 - 2012
69,"San Diego , CA",1/20/1950,San Diego State,Retired,,3 Seasons,77,,,"Peterson, Jim",,jimpeterson/2523093,,235,1974 - 1976
52,"Sacramento , CA",1/7/1967,USC,Retired,,9 Seasons,74,,,"Galbraith, Scott",,scottgalbraith/2500740,,255,1990 - 1998
34,,10/25/1985,Ohio State,Retired,,1 Season,77,,,"Abdallah, Nader",,naderabdallah/89680,,297,2009 - 2009
